Word,Definition
shut,to close something
victory,a win in a war-- game-- or competition
resolve,to find an answer or way to handle a problem
critic,a person whose job is to give opinions about books-- movies-- or other forms of art
variable,having the ability to change or vary
enormous,huge; very big; very large
sweet,tasting like sugar; containing sugar
permanent,lasting forever; not temporary or changing
emotion,a feeling such as sadness-- anger-- or love
pursue,to follow and try to catch something; to try to get something
tall,greater in height than average
urge,to strongly persuade someone to do something
enemy,someone who wants to harm another
appoint,to officially choose a person for a job-- position
milk,the white liquid produced by females to feed their babies
talent,the natural ability of a person to do something well
smell,to use your nose to sense something
prior,happening or coming earlier in time
priority,something that is important and must be done before other things
online,connected to the internet
phrase,a group of words that forms a unit and expresses a single meaning
pilot,a person who controls an airplane-- spacecraft-- or boat
stable,in a good situation or condition; not likely to change
merely,only-- simply-- or nothing more than
resolution,a formal agreement or statement decided by a group of people
communicate,to give and exchange information
injury,physical or emotional harm or damage that a person experiences
vast,being very large in size or amount
exhibition,an event at which an object or group of objects is shown to the public
producer,a company making or growing a certain product
regional,having to do with a particular area
immediate,done without delay; straight away
incident,something that happens-- especially if it is bad or unusual
childhood,the time when you are a child
draft,a piece of writing or plan that is not yet finished
slip,to slide out of position or fall to the ground by accident
accompany,to go somewhere with someone
politician,someone who is active in politics
angry,having a strong feeling about something that you dislike very much
knock,to hit something to get people's attention
seed,a small object made by a plant from which a new plant can grow; the beginning of something
salary,money an employee is paid each year
illustrate,to explain with examples-- to make it easier to understand
imply,to suggest something-- without saying it directly
breakfast,the first meal of the day
temporary,continuing for a limited time-- not permanent
liberal,open to new ideas; believing government should actively support social needs
lake,a large area of water surrounded by land
qualify,to get the necessary skill or knowledge to do a particular job or activity
competitive,wanting to win or to be better than others
truly,based on truth or fact or reality
hi,what you say when you meet someone; hello
yellow,color of lemons or the sun
habit,the usual way of behaving; something often repeated
disk,a flat round object
core,the central part of a fruit that contains the seeds; the central part of something
emotional,related to deep feelings
aircraft,a machine that can fly
self,the type of person you really are
metal,a type of hardy material that is usually hard and shiny that can be used to make things-- such as iron-- gold-- or steel
existence,state of being present-- alive-- or real
bone,hard pieces of a body that form the frame of an animal
panel,a rectangular piece of wood-- metal-- etc.-- that is a part of something bigger; a group of people who discuss something
prime,main; most important; best quality
appointment,the time you arranged to meet someone or do something
emphasize,to stress the items that are important
maximum,largest or greatest
effectively,in a way that produces the result you want
elsewhere,in or to another or different place
bother,to take the trouble to do something
initiative,ability to decide or act upon things yourself without depending on someone else
sharp,having a thin edge or point that is able to cut
diet,the type of food that a person or animal usually eats
motion,a movement; the way something moves
gray,color between black and white
plastic,a very common-- light-- strong material that can be formed into many different shapes and is made by a chemical process
complicate,to make more difficult
discipline,the teaching of self-control through instruction and practice
disappoint,to not meet the expectations of others or yourself
boss,a person who manages you-- or is in charge of you at work
assumption,something you believe to be so-- but aren't sure of
freeze,to become hard because of very cold temperatures
extreme,very great in degree
passage,a long-- narrow area that connects one place to another
reputation,an opinion that people have about someone or something based on the past
forth,out of a place; forward in time-- place-- or way
negotiation,a formal discussion to reach an agreement
mechanism,a part or a set of parts of a machine that has a particular function
coat,clothing worn outside over your normal clothes
democracy,a system of government in which the people of a country can vote to elect who will govern them
pocket,small cloth bag sewn into clothing to hold things
lucky,fortunate; having good things happen to you
crash,to hit something hard enough to cause serious damage
observation,careful watching and listening; remark or comment on something you have noticed
meat,the muscles and soft parts of animals or birds that is eaten as food
concentration,the ability to direct all your effort and attention on the one thing you are doing and nothing else
implication,possible effects or results from an action or event
deserve,to get the appropriate reward or punishment for the way you behaved or something you did
unusual,different from what is ordinary or normal in a way that attracts attention; not usual
defend,to protect against an attack
classic,something popular or famous for a long time and is considered one of the best of its kind
king,the male ruler of a country that has a royal family
interaction,process of two or more people or things affecting each other
repair,to fix something that is broken; fix
collapse,to suddenly fall down or break apart
borrow,to receive something from someone and later return it
fundamental,relating to the most important parts of something
dish,a shallow container for cooking or serving food
abroad,in or to a foreign country
soul,the spiritual part of a person
capable,able to do something; can do
defeat,to win against someone in something such as a fight or game
presidential,relating to the president
perfectly,in a faultless manner; without mistakes
enhance,to make something better; to improve
proud,pleased because of something you have done
emergency,a sudden serious event needing immediate action
educational,relating to teaching in a school
distinguish,to notice the difference between two or more things or people
substantial,large in amount-- quantity-- or size
nearby,not far away
manufacturer,a person or company that makes a product
slide,to move smoothly and easily-- usually over a surface
valuable,worth a lot of money
personally,by a specific person-- and not by anyone else
breast,one of the two parts on the front of a woman's body that produce milk when she has a baby
cope,to deal successfully with a difficult problem
approximately,around; nearly; almost; about (a number)
accommodation,a place to stay-- often a hotel
highlight,the best or most interesting part of something
reporter,someone whose job is to write and report news for a newspaper-- magazine-- television-- or radio station
climate,typical weather conditions in a particular place
shirt,a light piece of clothing with sleeves for the upper body
exception,something not included in or different from a group of things
corporation,big company or a combination of several companies
chip,a small piece that was broken or taken off something
winner,the person or animal that is the best in a contest or first in a race
encounter,to have or experience something-- often unpleasant or difficult
brown,of the color of coffee-- wood-- or chocolate
breathe,to move air into and out of your lungs
excuse,to give a reason to explain why you did something
partly,in part; not completely
tennis,game played by hitting a ball over a net
urban,concerning a city; located in a city
confuse,to make something unclear or hard to understand
southern,in or from the south
output,amount of something that is produced
beauty,quality of being physically or visually attractive
massive,very big; very large and heavy
install,to set up a piece of equipment so that it is ready to use
calculate,to find an answer using mathematics
mouse,a small animal that has fur and a long tail
mathematics,study or science of numbers and shapes
upper,higher than others of the same kind
creation,act of making something
occupy,to fill a time-- a space-- or an area
outline,the main ideas or facts about something-- without the details
sufficient,having as much as is needed for a particular purpose
update,to change something by adding the most recent information
luck,accidental way things happen-- often good things
preserve,to keep something in an unchanged or perfect condition
split,to break something into pieces or divide something
swing,to move smoothly backwards and forwards or from side to side while hanging from something
illness,unhealthy condition of the mind or body
journalist,a person who writes news reports for newspapers-- magazines-- television-- or radio
sudden,happening or done quickly or unexpectedly
advertisement,a picture-- short film-- text-- etc.-- that tells people about a product or service
consistent,always acting or happening in the same way
originally,at first; in the beginning
aside,to the side; out of the way; for later use
comfort,state of being relaxed-- warm-- or happy
secondly,used to give a point or reason after the first
severe,very bad; very serious
gene,part of a cell that controls the development and appearance of a living thing
prospect,the possibility that something might happen in the future-- especially something good
snow,soft white pieces of frozen water falling from the clouds
plot,a plan to do something-- often in secret and bad
neck,part of the body joining the head and the body
criterion,a standard used to make judgments or decisions
primarily,in the most basic or important way
integrate,to combine together; make into one thing
criticism,written or spoken remarks about what is bad about someone or something
convention,a large meeting of the members of a profession-- organization-- or who have the same interests
bet,to make an agreement on the results of an event where the losers give something (usually money) to the winner
retain,to continue to have or use something; to keep
sequence,an ordered group of related events or things
plain,simple; easy to understand; clear
volunteer,someone who works willingly without pay
rural,relating to parts of a country that are outside towns and cities-- with fields-- woods-- etc.
calm,relaxed and not worried or angry
abandon,to leave someone or something you are responsible for and not return
examination,test of your knowledge of-- or ability in something
silence,no sound or noise
rapidly,with great speed
efficient,able to work well without waste
revolution,a change in the way a country is governed-- usually by violence or war; a complete change
delight,a strong feeling of great pleasure and happiness
spell,to be able to say-- write-- or print the letters that make up a word
premise,a statement or idea that is accepted as being true and is used for developing other ideas and actions
lean,to bend or move someone's body in a particular direction; (adj) very little fat
dramatic,sudden and extreme
differ,to be not the same as others
grateful,feeling or showing thanks; thankful
protein,a substance found in some foods-- such as meat-- that is needed by the body to stay healthy
bike,a vehicle with two wheels that a person can ride
distribute,to hand in or deliver something to people
intellectual,of or relating to the ability to think in a logical way and understand complicated ideas and subjects
derive,to develop or get something from something else
crucial,extremely important
unemployment,the number of people in an area who want to work but do not have a job
wheel,the round thing under a vehicle that turns and makes it move
crop,plants grown on a farm for food (e.g.-- corn or rice)
minority,a part of a group that is less than half of the whole; a small part
origin,the point at which something begins or is created
interpretation,an explanation or opinion of the meaning of something
gentleman,a man who has good manners and is considerate
drama,a piece of writing that tells a story about a serious subject or an exciting event
landscape,a large area of countryside or land that has a particular quality or appearance
educate,to teach someone in a school or college
toy,a thing that children play with
fault,a bad quality or part of someone or something; responsibility for a mistake or bad situation
exhibit,to display or make available for people to see
minor,not so large in size-- not important or valuable
hunt,to search for wild animals to kill for food or sport
storm,bad weather with a lot of rain-- snow-- and strong winds
thick,having a large distance between two surfaces
achievement,something good that you have successfully done
negotiate,to have a formal discussion to reach an agreement
dominate,to have power or influence over
supplier,organization that provides a product or service
prize,something that is won in a contest or given as an award
typically,in a normal or usual way
peer,person of the same age-- class-- or background as another
pension,regular payments you receive after you retire
wing,part of an animal's body that is used for flying
acquisition,act of getting something
laughter,action or sound of laughing
deeply,to a great-- intense-- or extreme extent
recognition,accepting that something is true or that it exists
electricity,energy generated positive and negative charges
assistance,act of helping someone
roof,cover or top of something
retirement,time when someone has stopped working because of their age
respectively,in the order people or things were mentioned
variation,something almost the same as another but different
ultimately,finally-- after doing other things
proof,information which shows that something is true or correct
soil,top layer of earth in which plants grow
smart,being clever-- having a good mind
layer,an amount of something that is spread over a surface
upset,troubled-- worried-- or angry
tooth,hard white thing in the mouth used for biting and eating
representation,speaking or doing something officially for another person
preparation,getting ready for something
dispute,argument between two or more parties about something
agenda,a list of subjects that people will discuss at a meeting
emphasis,particular importance to the way something is said
edition,a particular version of something that is sold to the public
silver,expensive-- near white color metal (symbol Ag)
entertainment,activities that make people have a good time by singing-- telling jokes-- etc.
honest,good; always telling the truth and not stealing
undertake,to begin or attempt-- commit oneself to and begin
retail,concerning the business of selling products to the public for personal use
wire,thin-- flexible thread of metal
unlikely,not being likely to happen or not likely to be the truth
gay,person attracted to someone of the same sex
publication,process of producing a book or magazine
slight,very small in degree or amount
unknown,not familiar or famous
framework,basic structure of something
zone,area of space used for a particular reason
restrict,to prevent from doing something
trace,to find-- describe or discover by investigation
inch,a measure of length; 1/12 of a foot (2.54 centimeters)
equivalent,being about equal in value-- use-- or meaning
solid,firm or hard; not a gas or liquid
enterprise,a business or organization
elderly,a polite word for 'old'-- used to describe people
owe,to need to pay money to a person-- bank-- business-- etc.
governor,person who leads a state or province
uniform,a set of clothes that show you are part of a group or school
port,a town or an area of a town next to water where ships arrive and leave from
pitch,1. the level of a sound; 2. a throw of a ball; 3. a speech to sell something; 4. black substance that is sticky when hot and hard when dry
arrival,when someone or something gets to a place
contemporary,being of the time being discussed
gate,place in a fence which can be opened or closed
ease,state of being comfortable or relaxed
beer,alcoholic drink that is made from wheat or grains
specialist,person who works in one specific area of a field or profession
assure,to make sure that something happens
profile,description listing the basic information about a person or group
mood,emotion or a state of mind; how you feel
episode,show which is part of a larger story
crack,to almost break something
numerous,existing in large numbers
submit,to accept a superior force has power over you
symptom,a change in someone or something that shows they have an illness or problem
virtually,almost completely
era,a period of time in history that is special for a particular reason
coverage,way a newspaper-- television program-- etc.-- reports an event or subject
tension,feeling of anxiety and inability to relax
cable,wire carrying electricity-- tv signals-- internet-- etc.
sensitive,easily hurt or damaged
nervous,having a tendency to become uneasy or anxious
input,to put in information-- advice-- or opinions
isolate,to keep in a place or situation apart from others
prisoner,someone kept in a prison as punishment for a crime
eliminate,to completely remove; to get rid of
tight,held together firmly; difficult to move
wet,covered or soaked with a liquid; not dry
secondary,less important than something else
welfare,a government program to help poor people
recruit,to get people to come and work-- join-- or study with you
exclude,to prevent someone from access to a group
string,thin rope
cloud,a mass of water vapor in the sky-- as when it is going to rain
persuade,to get you to do/believe something-- by giving reasons
inspire,to make someone have the desire to do something
grand,including many things; very large
hence,from now-- later than the present time
crew,an organized group of workers (e.g.-- on a ship)
phenomenon,a fact that can be observed and studied
pupil,1. a child or young person who is being taught; a student; 2. the black round part in the center of the eye that lets in light
false,not real or true
assist,to help
restore,to put or bring back into existence or use-- mend
formula,plan-- rule-- or method for doing or making something
alter,to make a change to something
perceive,to notice or become aware of something
routine,happening or done regularly or frequently
sink,to go down below the surface of water-- mud-- etc.
stare,to look at someone or something for a long time
anymore,no longer; no more
hero,person of great courage and strength who saves others
supporter,someone who shows they are in favor of an idea/plan
convert,to change form-- character-- or function to another
steady,firmly fixed-- supported-- or balanced; not shaking-- rocking-- or likely to fall over
meter,unit of length equal to 100 cm or about 39 inches
truck,a large road vehicle used to carry things
nose,part of the face used for breathing and smelling
beside,by the side of something; next to something
sail,to travel on water in a ship or boat
disaster,something that causes a lot of harm or damage
pace,the speed at which someone or something moves or happens
heavily,a lot or to a great degree
devote,to decide to use or give something for something else
terrorist,a person who uses fear or violence for a political purpose
justify,to give reasons why you did something or why it is right
vital,necessary
fascinate,attract or interest greatly
external,outside of something
spare,kept as something extra that can be used if it is needed
whenever,at any or every time that
depression,a feeling of great sadness
guilty,having done something bad or illegal
underlie,to lie or exist beneath
mom,mother
distinction,the special quality that makes something different
satisfaction,happy feeling because of something that you did
incorporate,to include or involve as part of something else
pour,to make a liquid flow from one container into another
sweep,to remove dust or dirt from a surface with a broom or brush
obligation,something that you do because it is your duty or because you feel you have to
sir,form of address to a man you respect
evaluate,to form an idea to judge something carefully
anger,to make someone mad-- upset-- or annoyed
pub,a place that sells alcohol and food
perception,the way in which one sees or understands something
naturally,as someone would expect; not surprising
currency,a money system that a country uses
database,information stored in a computer in an organized way
initially,at the beginning
territory,area of land or ocean owned or controlled by a government or person
stream,small river
rarely,in an infrequent manner
height,distance of something from the bottom to the top
apparent,easy to see or clearly understand
western,coming from-- found in-- or facing towards the west
expansion,act of expanding or becoming bigger
constantly,happening a lot or all the time
muscle,a body tissue that can become longer or shorter and moves the body
scare,to make someone feel frightened or worried
badly,not in a good way; not as wanted or liked
everyday,used or seen daily; suitable for daily use; ordinary
boundary,where one area ends and another begins
ratio,two numbers that show ​the relationship between two groups of people or things
essay,short written work that displays someone's opinions or beliefs regarding a particular subject
scream,to make a sudden loud cry
withdraw,pull back; move away or backward from something
pollution,dirty or dangerous waste released into an environment
disorder,a lack of organization
furniture,items such as tables-- chairs-- beds-- or closets
symbol,action or object that represents a particular idea or quality
apartment,set of rooms to live in on one floor of a building
demonstration,explanation of how something works
analyst,someone who is skilled at studying the details of data
platform,a raised area for people to stand on
steel,very strong metal made of iron and other substances mixed together
cake,a sweet baked food made from flour-- eggs-- fat-- and sugar
transform,to change the shape of something completely
wound,an injury to the body that is caused when something breaks the skin
restriction,a rule or law that limits what people can do
foundation,underground base on which a building is constructed
designer,someone who creates plans to make something
strain,too much pressure on a person or system that can cause problems
innovation,new invention or idea that is created
album,book with a collection of photographs or pictures
singer,a person who sings-- often as a profession
trail,a path through the countryside-- often where people walk
trap,a device used for catching animals
loose,not tightly attached or held
extension,extra time allowed to complete something
wealth,large amount of money and possessions
gradually,occurring in a slow manner over a period of time
tank,container for holding liquid or gas
evil,morally bad; causing harm to someone
remarkable,interesting and unexpected-- worthy of notice
tune,group of musical notes that make a nice sound
grass,plants with narrow green leaves-- grown on lawns
invitation,when someone asks you to do something or go somewhere
transition,a gradual change from one condition to another
frighten,to make someone afraid or nervous
bid,an offer to pay a particular amount of money for something
breed,to produce baby animals of specific kinds
extraordinary,beyond what is ordinary; very unusual; remarkable
brilliant,having a great amount of intelligence or talent
adviser,an expert who suggests what someone should do
stem,the long-- thin part of a plant that supports leaves and flowers
reverse,to go in the opposite direction
mode,way of acting or doing something
mirror,a thing with a glass surface used to look at yourself
awful,very bad; horrible; terrible
pose,to put someone in a position to be photographed
adjust,to change to fit in with new conditions
creative,having the ability to make something new
nowadays,at the present time; now
poem,a written composition in verse-- not prose
agricultural,concerning farming
competitor,someone taking part in a race-- business-- etc.
alcohol,drinks such as wine-- whiskey-- beer
festival,cultural event with a program of events
vegetable,a plant that is raised and eaten as food
van,truck with an enclosed cargo space
confident,feeling that you can do well at something
planet,one of the bodies that orbit the sun
curve,a smooth rounded line that is not straight
knee,the middle part of your leg that bends
overcome,to succeed in a struggle
web,a net made by spiders; many things connected together
depth,distance below a surface
entrance,a way into a place
log,a piece of a tree that has been cut
giant,extremely big-- or much bigger than other things
god,a being with special powers that cannot be explained by nature
portion,part of a whole
substance,a particular type of material
extensive,large; full or complete
interpret,to repeat what was said in another language
independence,having the freedom to make your own decisions
sugar,white sweet substance used to make foods sweeter
inner,concerning the inside part of something
harm,to hurt-- damage-- or cause problems
consult,to discuss something to make a decision
pink,pale red color
shadow,a dark shape that appears when something stops the light
strip,to take something away from (someone)
smooth,something that feels pleasant and flat when you touch it; not rough
intervention,involvement in a situation to prevent future problems
impress,to make someone admire or respect another person or thing
exam,test of your knowledge or ability in something
vice,type of evildoing
radical,very new and different from what is traditional
similarly,in a way that is almost the same as something or someone else
behave,to act in a particular way; to act correctly
loud,making a lot of noise
dimension,measurement of length-- width-- or height
subsequent,happening after
infection,act or state of becoming infected with a disease
jacket,a light-- thin coat
efficiency,working well; producing something without waste
dirty,not clean
statistic,a number that represents a piece of information
regularly,at the usual time each day-- week-- or month
resort,a place where people go on holiday
iron,the hard metal used to make steel (symbol Fe)
broadcast,to send out signals by radio or television
membership,all the people who belong to a club or group
bread,baked food made from flour-- used in sandwiches-- etc.
blind,unable to see; with eyes that cannot see
pure,not mixed with anything else
bloody,covered or spotted with blood on the surface
ally,someone who supports-- helps-- or defends you
quantity,amount or number of something
bend,to make something not straight; make into a curve
mature,being an adult-- being fully developed physically
briefly,happening in a short period of time; using few words
alarm,sound or light used for a warning or to wake someone
disturb,to stop someone from working or sleeping
sustain,to maintain-- lengthen or continue to do something
flood,a large amount of water covering land that is usually dry
poverty,being poor
crazy,not being sensible or practical
cite,to mention the work of others in your writing
newly,very recently; just done or made
parallel,very similar and often occurring at the same time
gender,state of being male or female
sponsor,to help someone or something succeed by giving them money
boot,footwear covering your foot and part of your leg
accurate,correct; not having mistakes or errors
dealer,someone who buys things to sell to others
button,small round piece of material used to fasten clothing
burden,something that causes worry-- difficulty-- or hard work
desert,area of land that has very little water and few plants
mate,someone who you work-- live-- or go to school with
occasionally,not very often; sometimes; seldom
shareholder,someone who owns a part of a corporation
bowl,a round container used for holding things like rice or soup
discovery,learning something for the first time
resistance,refusal to accept something new or different
bath,the cleaning of a body by putting it completely into water
frequency,how often something happens
criticize,to say that someone or something is bad
tap,to hit something lightly
philosophy,study of ideas about the fundamental nature of life
lip,top and bottom part of the outside of a person's mouth
attribute,a quality or characteristic that someone or something has (e.g.-- size or color)
apologize,to say sorry because of a mistake or injury you made
approval,positive opinion of something or someone
grab,to quickly reach out and take something in your hand.
entitle,to give the right to do or have something to someone
lend,to give to someone for a while before it is returned
involvement,act or process of joining in a particular activity
exposure,state of experiencing something directly
conventional,following the common attitudes and practices
digital,using electronic signals or computers
translate,to change words from one language into another
edit,to check and makes changes before publication
formation,process of creating-- or making into a particular shape
deposit,money that is given for a special purpose such as proof that you will buy something-- or as savings in a bank
pleasant,causing a good feeling
overseas,in or to a foreign country that is across a sea
advocate,to publicly support a belief-- or to request a change
establishment,organization-- institution-- or place to do business
summary,a brief statement that gives the most important information
rough,not smooth-- gentle-- or careful
pen,something you write with that uses ink
recovery,process of returning to a former state after problems
seal,to make something so that it does not leak air or water
tube,long-- hollow object
tower,a tall-- narrow building
characterize,to describe the qualities of a person-- place-- thing
specify,to state-- name-- or mention exactly and clearly
exact,completely correct; accurate; specific
spin,to turn around repeatedly
operator,someone who uses and controls something-- usually equipment
infant,child in the beginning stage of life; a baby
dig,to move material to create a hole
drag,to pull something that is difficult to move
mount,to organize and begin an action; to attach to a support
wrap,to cover something on all sides with a piece of material or paper
anticipate,to expect or look ahead to something positively
dependent,someone who depends on another for (financial) support
specialize,to focus on one area of a field or profession
angle,a place where two lines or surfaces meet
chicken,a large bird that is raised on farms for its eggs and meat
anxiety,fear about what might happen; worry
virus,a very small-- basic living thing that causes disease or sickness
precisely,in an exact and accurate manner
rival,a person-- team-- or organization that competes with another; a competitor
offense,criminal act; something that causes hurt
detect,to discover or identify the presence of something
teenager,a person between the ages of 13 and 19
admire,to feel respect or wonder toward someone
moderate,average in size or amount
surgery,medical treatment in which a doctor cuts into a body
musician,a person who writes-- sings-- or plays music-- as a job
significance,importance of something; the potential for something to have a big effect
shower,the cleaning of a body by standing under falling water
illegal,not allowed by the laws or rules
charity,organization providing help to the needy-- the sick
universal,done or experienced by everyone
cigarette,a small paper tube filled with tobacco
constitute,to make up or be part of something
adequate,enough; good enough for what is needed
consultant,expert who gives (paid) advice
historian,someone who studies or writes about the course of history
cousin,a child of your uncle or aunt
visual,something to look at with the eyes
stupid,lacking the ability to learn easily; not intelligent
keen,being eager or excited for something to happen
ethnic,connected with people who share a cultural tradition
twin,two children born from the same mother at the same time
clinical,related to the examination and treatment of patients
eastern,being in the area to the east
forecast,a prediction of some future thing (e.g.-- the weather)
segment,part divided from the other parts of something
custom,what is usual or normal
adapt,to change something to fit or suit a new purpose
sand,grains of rock that make beaches and deserts
cap,small-- soft hat often with a front visor or shade
prompt,being done quickly and with no delay
charm,quality of making people like you; attractiveness
react,to behave or make a change in a particular way
lecture,talk or speech about a particular subject
venture,activity that involves taking chances or risks
compound,combined into-- or making up a chemical combination
rescue,to save something from danger or harm
mess,dirty or untidy area
preference,something that is liked or wanted more than another
comprehensive,including most or all things
incentive,something that encourages a person to work hard
league,association of sports teams that organizes matches for its members
dialog,conversation between two or more individuals
cream,the thick white liquid that comes from milk and is used in cooking
rapid,happening very quickly
cancel,to stop a planned event from happening
regret,to be sorry about something
dismiss,to send someone away
margin,the empty space at the top-- bottom-- and sides of a written or printed page
beneath,under; in or to a lower position; below
opponent,a person that you are competing against in a game or contest
resist,to try to stop or prevent something
capability,means-- ability-- or potential to do something
absolute,complete and total
correspond,to have similarity or equality with something
stroke,to touch someone or something repeatedly in a caring way
dare,to have enough courage to do something
barrier,structure or object that stops free movement
rid,to no longer be wanted so you throw it away
divorce,legal ending of a marriage
ruin,to spoil something-- to make it useless
bury,to put something into the ground and cover it
counsel,to listen and give expert advice to someone
tendency,quality that something happens or someone behaves in a particular way
frequent,happening often
motor,a machine that uses energy to make something work or move
survival,act of continuing to exist when facing difficulty
counter,a long-- flat surface in a shop or kitchen where work is done
possess,to have or own something
permission,right to do something as allowed by another
valley,long-- low area between hills or mountains-- often with a river running through it
float,to stay on the surface of a liquid and not sink
mad,very angry-- very strong feelings-- crazy
greatly,very much
visible,easily seen or understood
electric,using a particular type of energy carried through metal wire
impressive,something makes someone admire or respect
evolution,slow-- steady change or development
awareness,having knowledge of something
violent,done with force; likely to cause physical damage
slave,someone who is legally owned by another person
wealthy,having a great amount of money or property
architecture,design and construction of buildings
acceptable,satisfactory; good enough
journal,a written record of subjects or events
coal,dark hard substance from the earth burnt as a fuel
measurement,the finding of the size or amount of something or someone
random,chosen or done without a plan or pattern
successfully,in a manner that achieves a goal
depress,to make someone feel very sad; to reduce the value of something
illustration,picture that helps explain something
burst,to break in a sudden and violent way
privilege,advantage or right that is given to only a certain person or group of people
buyer,someone who gets something by paying money for it
mutual,shared between two or more people
rail,long-- thin piece of metal
motivate,to make someone excited about doing something
laboratory,a place for doing research and experiments
mortgage,long-term loan from a bank for buying property
promotion,moving someone to a more important position
passion,powerful-- positive feeling about something
champion,person who fights for or supports strongly
fulfill,to do something that was promised or required
dust,fine dry powder that builds up on surfaces
dedicate,to give your energy-- time-- etc.-- completely to someone
roughly,in an inexact or imprecise manner
skirt,piece of clothing for the lower body worn by women
province,area that a country or nation is divided into
march,to walk with regular steps as a group
evaluation,judgment about the value or condition of something
compromise,an agreement in which each side must give up some things
accomplish,to succeed in doing; complete successfully
weakness,quality of not being powerful or strong
announcement,act of informing people about something publicly
salt,natural white substance used to flavor or preserve food
glance,to look at someone or something quickly
opera,play with music in which all the words are sung
contest,an event in which people try to win
brush,thing used to comb your hair or to clean the floor
embarrass,to cause someone to feel uncomfortable about something
gallery,place to look at various types of art
genetic,concerning the parts of a cell that determine particular characteristics
aggressive,behaving in a very threatening way
chest,the front of your body between your neck and your waist
format,form-- design-- or arrangement of something
literary,concerned with written works
govern,to officially control and lead an area
embrace,to hold someone closely
praise,to express approval of something or someone
silent,not speaking or making noise
pump,to make water or any other liquid move using a machine
publisher,business that produces books or magazines
celebration,special event where people show the importance of something
golf,game played to hit a ball into a hole with a stick
compensation,money given or received as payment for loss
classical,concerning ideas considered to be traditional
weigh,to determine the weight of-- using scales
versus,used to show that a thing or person is against another thing or person
deficit,an amount that is less than needed
modify,to make small changes to something
flash,sudden bright light
friendship,feeling of liking someone; good relationship
profession,job requiring special education or skills
literally,in a way that expresses the exact meaning of something
equation,a statement showing things to be equal
gesture,a hand or body movement that expresses a particular idea or feeling
entertain,to take care of guests by helping them enjoy their time
fantastic,very fanciful in design-- construction-- or appearance
assign,to give someone a particular job or something to do
inflation,continual rise in the prices of products
historic,belonging to the past; of what is important or famous in the past
injure,do physical harm or damage
remote,far away
therapy,treatment intended to help fix your problem or medical illness
orange,a color that is a mixture of red and yellow
twist,to turn something in opposite directions at the same time
personnel,group of people who work for a company
imagination,the ability to think of new ideas or things that are not real
disagree,to have a different opinion from someone
throat,passage inside the neck used to swallow and breathe
insight,a clear idea about how something works
tackle,to take action to solve a difficult problem
forever,for a very long or seemingly endless time
exceed,to be greater in number than something
expenditure,amount of money used during a certain time
joy,feeling of great happiness and pleasure
pregnant,when women carry a child inside them that is not yet born
reliable,deserving of your trust-- dependable
gear,special supplies-- tools-- or clothes needed for a particular activity; machinery that turns power into forward or backward movement
poet,person who writes poems
fortune,chance or luck-- particularly good luck
ceremony,special social or religious event
pile,group of things one on top of another
pig,farm animal that gives bacon and ham
mixture,something made by combining two or more things
automatically,in a way not requiring control by a person
scholar,a person who studies and knows a lot about a particular subject
psychological,having to do with the mind
dramatically,in a sudden or extreme manner
stake,a strong stick with a pointed end that you push into the ground
creature,animal of any type
partnership,working with others for some purpose
participation,act of being involved in something
clause,a separate part of a contract-- a will-- or another legal document
penalty,punishment for committing a crime or offense
chamber,a room or space inside something used for a special purpose
fancy,not plain or ordinary-- expensive
poetry,poetic writing; imaginative verses
chat,to talk in a friendly and relaxed manner
clothing,things you wear on your body
evolve,to slowly change or develop into something better
sake,interest or benefit of someone or something
shelf,flat board attached to a wall on which to store things
boost,to help increasing progress or growth
tail,back end of an animal's body that sticks out
possession,having or owning something
abortion,a medical operation to end the time when a female is going to have a baby
curious,wanting to know more about something
wooden,made of wood
boom,to make a deep hollow resonant sound
tale,story about colorful and imaginary events
democratic,of democracy; entitling the people to power
maintenance,keeping (a machine) working by checking and fixing it
consequently,therefore; as a result of something
pot,deep-- round container that is used for cooking
cow,large farm animal from which we get milk and beef
strengthen,to make something stronger
whilst,during the time that; at the same time
constraint,something that limits or prevents someone or something from moving
fold,to move one part of something so that it lies on top of another part
bin,a container for storing things
undergo,to experience something-- often bad
potentially,that could happen or become reality
scope,range of things that something includes
pretend,to act as if something is true when it is not
diversity,state or quality of having a range of different things
allege,to state without proof
pride,when you respect yourself
intense,very strong-- great-- or extreme in degree
inquiry,request for information
resign,to leave a job because you want to
craft,to make by hand and with much skill
strict,must be obeyed
concrete,hard substance used in building made by mixing cement-- sand-- small stones-- and water
shell,hard outer covering that protects
damn,to say someone should be punished for their bad behavior
distinct,clearly different in nature from something else
humor,quality of being funny
limitation,act of controlling or reducing the size of something
indication,something that signals that something else exists or will happen
stability,quality of not being easily moved or changed
wise,knowledgeable about life; having good judgment
neglect,to fail to take care of something
compose,to come together to form or make something
jail,place to hold criminals being punished for a crime
shelter,a place to live or stay that protects someone from weather
mere,small and unimportant
carbon,a chemical element (C) found in all living things
regulate,to make rules or laws to control something or someone
cheese,a yellow or white food made from milk
trigger,to make something start happening
pipe,tube a round-- hollow piece of metal-- plastic-- or wood
destruction,damaging something so badly that it no longer exists
guitar,stringed musical instrument played with the fingers
flag,piece of cloth-- frequently marked with a colorful symbol or sign
piano,keyboard instrument used for playing music
magic,a special power that allows impossible things to happen
mystery,book-- play-- or film that deals with a solution of a strange crime
